start station id,start station name,start station latitude,start station longitude,year,month,number of rides
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,04,7099
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,04,7056
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,04,6999
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,04,6130
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,04,5905
426,West St & Chambers St,40.71754834,-74.01322069,2014,04,5364
490,8 Ave & W 33 St,40.751551,-73.993934,2014,04,5331
499,Broadway & W 60 St,40.76915505,-73.98191841,2014,04,5241
402,Broadway & E 22 St,40.7403432,-73.98955109,2014,04,5172
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2014,05,9747
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,05,9166
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,05,9070
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,05,8824
426,West St & Chambers St,40.71754834,-74.01322069,2014,05,7687
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,05,7487
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,05,6976
444,Broadway & W 24 St,40.7423543,-73.98915076,2014,05,6954
499,Broadway & W 60 St,40.76915505,-73.98191841,2014,05,6839
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2014,05,6646
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,06,10929
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2014,06,10744
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,06,9693
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,06,9626
426,West St & Chambers St,40.71754834,-74.01322069,2014,06,9170
358,Christopher St & Greenwich St,40.73291553,-74.00711384,2014,06,8398
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,06,8242
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,06,7433
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2014,06,7323
402,Broadway & E 22 St,40.7403432,-73.98955109,2014,06,7315
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,07,13065
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2014,07,11541
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,07,9825
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,07,9748
426,West St & Chambers St,40.71754834,-74.01322069,2014,07,8577
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,07,7855
402,Broadway & E 22 St,40.7403432,-73.98955109,2014,07,7799
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,07,7608
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2014,07,7225
499,Broadway & W 60 St,40.76915505,-73.98191841,2014,07,7186
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,08,11489
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,2014,08,11072
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,08,10196
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,08,9469
426,West St & Chambers St,40.71754834,-74.01322069,2014,08,8340
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,08,8005
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2014,08,7625
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2014,08,7615
402,Broadway & E 22 St,40.7403432,-73.98955109,2014,08,7438
499,Broadway & W 60 St,40.76915505,-73.98191841,2014,08,7407
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,09,12441
519,Pershing Square North,40.751873,-73.977706,2014,09,10540
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,09,10357
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,09,9607
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,09,8556
426,West St & Chambers St,40.71754834,-74.01322069,2014,09,8123
382,University Pl & E 14 St,40.73492695,-73.99200509,2014,09,7740
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,09,7320
444,Broadway & W 24 St,40.7423543,-73.98915076,2014,09,6990
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2014,09,6919
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,10,11792
519,Pershing Square North,40.751873,-73.977706,2014,10,9464
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,10,8881
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,10,8527
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,10,8070
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,10,7337
382,University Pl & E 14 St,40.73492695,-73.99200509,2014,10,6624
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2014,10,6403
402,Broadway & E 22 St,40.7403432,-73.98955109,2014,10,6254
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2014,10,6138
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,11,7726
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,11,5980
519,Pershing Square North,40.751873,-73.977706,2014,11,5779
497,E 17 St & Broadway,40.73704984,-73.99009296,2014,11,5339
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,11,5295
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2014,11,4863
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,11,4816
504,1 Ave & E 15 St,40.73221853,-73.98165557,2014,11,4277
490,8 Ave & W 33 St,40.751551,-73.993934,2014,11,4102
382,University Pl & E 14 St,40.73492695,-73.99200509,2014,11,4069
521,8 Ave & W 31 St,40.75044999,-73.99481051,2014,12,6543
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2014,12,4501
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2014,12,4467
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2014,12,4031
519,Pershing Square North,40.751873,-73.977706,2014,12,3693
490,8 Ave & W 33 St,40.751551,-73.993934,2014,12,3639
285,Broadway & E 14 St,40.73454567,-73.99074142,2014,12,3429
379,W 31 St & 7 Ave,40.749156,-73.9916,2014,12,3056
382,University Pl & E 14 St,40.73492695,-73.99200509,2014,12,2985
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2014,12,2889
521,8 Ave & W 31 St,40.75044999,-73.99481051,2015,01,4157
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,01,3186
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2015,01,3139
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,01,2988
490,8 Ave & W 33 St,40.751551,-73.993934,2015,01,2637
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,01,2542
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2015,01,2468
379,W 31 St & 7 Ave,40.749156,-73.9916,2015,01,2441
519,Pershing Square North,40.751873,-73.977706,2015,01,2354
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,01,2232
521,8 Ave & W 31 St,40.75044999,-73.99481051,2015,02,2238
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,02,2143
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,02,2130
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2015,02,2102
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2015,02,2078
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,02,1908
490,8 Ave & W 33 St,40.751551,-73.993934,2015,02,1901
379,W 31 St & 7 Ave,40.749156,-73.9916,2015,02,1856
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2015,02,1658
517,Pershing Square South,40.751581,-73.97791,2015,02,1624
490,8 Ave & W 33 St,40.751551,-73.993934,2015,03,5916
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,03,3574
379,W 31 St & 7 Ave,40.749156,-73.9916,2015,03,3444
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,03,3419
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2015,03,3353
519,Pershing Square North,40.751873,-73.977706,2015,03,3186
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2015,03,3185
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,03,3021
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2015,03,2996
402,Broadway & E 22 St,40.7403432,-73.98955109,2015,03,2596
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,04,6945
521,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,2015,04,6864
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,04,6356
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,04,6101
519,Pershing Square North,40.751873,-73.977706,2015,04,5801
426,West St & Chambers St,40.71754834,-74.01322069,2015,04,5243
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2015,04,5188
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2015,04,4966
318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,2015,04,4964
402,Broadway & E 22 St,40.7403432,-73.98955109,2015,04,4933
521,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,2015,05,12988
519,Pershing Square North,40.751873,-73.977706,2015,05,10388
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,05,10265
426,West St & Chambers St,40.71754834,-74.01322069,2015,05,9588
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,05,9469
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,05,9283
499,Broadway & W 60 St,40.76915505,-73.98191841,2015,05,8105
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2015,05,7628
127,Barrow St & Hudson St,40.73172428,-74.00674436,2015,05,7534
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2015,05,7507
521,8 Ave & W 31 St,40.75096735,-73.99444208,2015,06,13347
519,Pershing Square North,40.751873,-73.977706,2015,06,11052
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,06,9457
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,06,8962
426,West St & Chambers St,40.71754834,-74.01322069,2015,06,8796
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,06,8540
529,W 42 St & 8 Ave,40.7575699,-73.99098507,2015,06,7772
127,Barrow St & Hudson St,40.73172428,-74.00674436,2015,06,7306
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,06,7187
284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,2015,06,7162
521,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,2015,07,14493
519,Pershing Square North,40.751873,-73.977706,2015,07,12359
426,West St & Chambers St,40.71754834,-74.01322069,2015,07,11099
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,07,10341
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,07,10073
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,07,9181
499,Broadway & W 60 St,40.76915505,-73.98191841,2015,07,8793
529,W 42 St & 8 Ave,40.7575699,-73.99098507,2015,07,8647
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2015,07,8605
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,07,8118
521,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,2015,08,14498
519,Pershing Square North,40.751873,-73.977706,2015,08,12611
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,08,11801
426,West St & Chambers St,40.71754834,-74.01322069,2015,08,11509
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,08,10939
499,Broadway & W 60 St,40.76915505,-73.98191841,2015,08,9914
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,08,9839
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2015,08,9509
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,08,9050
387,Centre St & Chambers St,40.71273266,-74.0046073,2015,08,8916
521,8 Ave & W 31 St,40.75096734871598,-73.99444207549095,2015,09,14923
519,Pershing Square North,40.751873,-73.977706,2015,09,14063
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,09,11291
426,West St & Chambers St,40.71754834,-74.01322069,2015,09,10460
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,09,10286
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,09,10127
151,Cleveland Pl & Spring St,40.7218158,-73.99720307,2015,09,9120
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,09,9053
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2015,09,8525
327,Vesey Pl & River Terrace,40.7153379,-74.01658354,2015,09,8333
519,Pershing Square North,40.751873,-73.977706,2015,10,11340
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,10,10989
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,10,9928
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,10,9121
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,10,8815
426,West St & Chambers St,40.71754834,-74.01322069,2015,10,7922
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2015,10,7725
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2015,10,7667
529,W 42 St & 8 Ave,40.7575699,-73.99098507,2015,10,7593
402,Broadway & E 22 St,40.7403432,-73.98955109,2015,10,7362
519,Pershing Square North,40.751873,-73.977706,2015,11,11267
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,11,8810
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,11,8268
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,11,7740
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,11,7175
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2015,11,6172
402,Broadway & E 22 St,40.7403432,-73.98955109,2015,11,6168
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2015,11,6080
426,West St & Chambers St,40.71754834,-74.01322069,2015,11,6060
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2015,11,5915
519,Pershing Square North,40.751873,-73.977706,2015,12,8843
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2015,12,7101
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2015,12,6918
285,Broadway & E 14 St,40.73454567,-73.99074142,2015,12,6166
497,E 17 St & Broadway,40.73704984,-73.99009296,2015,12,6105
402,Broadway & E 22 St,40.7403432,-73.98955109,2015,12,5551
490,8 Ave & W 33 St,40.751551,-73.993934,2015,12,5090
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2015,12,5017
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2015,12,4757
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2015,12,4752
519,Pershing Square North,40.751873,-73.977706,2016,01,6437
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,01,4761
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2016,01,4533
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,01,4104
285,Broadway & E 14 St,40.73454567,-73.99074142,2016,01,3813
490,8 Ave & W 33 St,40.751551,-73.993934,2016,01,3617
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,01,3552
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2016,01,3465
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,01,3160
168,W 18 St & 6 Ave,40.73971301,-73.99456405,2016,01,3098
519,Pershing Square North,40.751873,-73.977706,2016,02,6937
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,02,5037
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2016,02,4913
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,02,4031
285,Broadway & E 14 St,40.73454567,-73.99074142,2016,02,3810
490,8 Ave & W 33 St,40.751551,-73.993934,2016,02,3744
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,02,3739
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,02,3478
537,Lexington Ave & E 24 St,40.74025878,-73.98409214,2016,02,3449
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2016,02,3436
519,Pershing Square North,40.751873,-73.977706,2016,03,11634
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2016,03,7721
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,03,7493
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,03,6888
426,West St & Chambers St,40.71754834,-74.01322069,2016,03,6006
285,Broadway & E 14 St,40.73454567,-73.99074142,2016,03,5987
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,03,5944
490,8 Ave & W 33 St,40.751551,-73.993934,2016,03,5790
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2016,03,5627
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,03,5598
519,Pershing Square North,40.751873,-73.977706,2016,04,11563
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,04,7884
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,04,7793
426,West St & Chambers St,40.71754834,-74.01322069,2016,04,7787
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,04,7731
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2016,04,7666
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,04,6356
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2016,04,6303
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2016,04,6243
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2016,04,6218
519,Pershing Square North,40.751873,-73.977706,2016,05,12775
426,West St & Chambers St,40.71754834,-74.01322069,2016,05,10128
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2016,05,9246
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,05,9220
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,05,9036
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,05,9002
514,12 Ave & W 40 St,40.76087502,-74.00277668,2016,05,7699
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,05,7651
285,Broadway & E 14 St,40.73454567,-73.99074142,2016,05,7570
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2016,05,7566
519,Pershing Square North,40.751873,-73.977706,2016,06,15757
426,West St & Chambers St,40.71754834,-74.01322069,2016,06,12328
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,06,11700
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,06,11268
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,06,10634
514,12 Ave & W 40 St,40.76087502,-74.00277668,2016,06,10177
293,Lafayette St & E 8 St,40.73028666,-73.9907647,2016,06,10130
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,06,9559
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2016,06,9118
490,8 Ave & W 33 St,40.751551,-73.993934,2016,06,9065
519,Pershing Square North,40.751873,-73.977706,2016,07,13848
426,West St & Chambers St,40.71754834,-74.01322069,2016,07,11197
514,12 Ave & W 40 St,40.76087502,-74.00277668,2016,07,10280
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,07,10231
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,07,10173
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,07,10119
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2016,07,9255
459,W 20 St & 11 Ave,40.746745,-74.007756,2016,07,9122
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2016,07,8755
368,Carmine St & 6 Ave,40.73038599,-74.00214988,2016,07,8744
519,Pershing Square North,40.751873,-73.977706,2016,08,16385
426,West St & Chambers St,40.71754834,-74.01322069,2016,08,12383
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,08,11328
514,12 Ave & W 40 St,40.76087502,-74.00277668,2016,08,11206
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,08,11051
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,08,10667
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,2016,08,10374
490,8 Ave & W 33 St,40.751551,-73.993934,2016,08,10175
3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,2016,08,9927
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,2016,08,9898
519,Pershing Square North,40.751873,-73.977706,2016,09,16556
426,West St & Chambers St,40.71754834,-74.01322069,2016,09,13039
3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,2016,09,12982
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,09,11032
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,09,10762
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,09,10649
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2016,09,10512
514,12 Ave & W 40 St,40.76087502,-74.00277668,2016,09,10277
285,Broadway & E 14 St,40.73454567,-73.99074142,2016,09,9624
490,8 Ave & W 33 St,40.751551,-73.993934,2016,09,9460
519,Pershing Square North,40.751873,-73.977706,2016,10,15936
3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,2016,10,12523
402,Broadway & E 22 St,40.7403432,-73.98955109,2016,10,10536
497,E 17 St & Broadway,40.73704984,-73.99009296,2016,10,10426
435,W 21 St & 6 Ave,40.74173969,-73.99415556,2016,10,10287
426,West St & Chambers St,40.71754834,-74.01322069,2016,10,10233
285,Broadway & E 14 St,40.73454567,-73.99074142,2016,10,9347
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2016,10,9304
2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2016,10,9233
490,8 Ave & W 33 St,40.751551,-73.993934,2016,10,9200
519,Pershing Square North,40.751873,-73.977706,2016,11,13053
